street,area
Драгоманова,39.0
,55.0
Кудрявська,58.0
Краківська,52.0
Кольцова,92.0
Антоновича,68.0
Лариси Руденко,0.0
Івана Пулюя,65.0
Українки,145.0
Тютюнника,58.0
Юрія Смолича,76.0
Оболонський,46.0
Курбаса,88.0
Верховинця,0.0
Зарічна,0.0
Дніпровська,58.0
Коломийський,52.0
Правди,70.0
Каховська,65.0
Бойчука,47.0
Правди,79.0
Маккейна,34.0
Перемоги,98.0
Грушевського,50.0
Срібнокільська,70.0
Перемоги,45.0
Урлівська,150.0
Заболотного,66.0
Максимовича,65.0
Бажана,130.0
Сікорського,70.0
Курбаса,60.0
Дніпровська,78.0
Драгомирова,53.0
,65.0
Антонова,0.0
Бучми,69.0
Кубанської України,61.0
Дніпровська,81.0
Панельна,57.0
Коновальця,48.0
Богатирська,47.0
Оболонський,93.0
Українки,49.0
Бориса Гмирі,0.0
Правди,72.0
Центральна,65.0
Преображенська,49.0
Коновальця,31.0
Українки,41.0
*** not found,53.0
Велика Васильківська,77.0
Липківського,100.0
Бойчука,55.0
Васильківська,58.0
Данькевича,52.0
Богатирська,312.0
Українки,87.0
Гречка,145.0
Редутна,50.0
Бориса Гмирі,125.0
Драгомирова,43.0
Туполєва,130.0
Кондратюка,81.0
Мінський,208.0
Княжий Затон,306.0
Герцена,54.0
Балтійський,105.0
Ернста,69.0
Шаповала,66.0
Городецького,67.0
Сім'ї Сосніних,46.0
Івана Мазепи,104.0
Червоноткацька,55.0
*** not found,92.0
Голосіївська,86.0
*** not found,87.0
Миколи Гулака,0.0
Івана Федорова,0.0
Саперне Поле,0.0
Миколи Хвильового,0.0
Паторжинського,0.0
Наумовича,51.0
Калнишевського,250.0
Дніпровська,25.0
Електриків,42.0
Солом'янська,46.0
Шевченка,127.0
Озерна,46.0
Григоренка,66.0
Антонова,0.0
Голосіївський,70.0
Комарова,81.0
Борщагівська,0.0
Шевченка,0.0
Максимовича,85.0
Ковальський,79.0
Малевича,83.0
Мічуріна,38.0
*** not found,160.0
Балтійський,37.0
Азербайджанська,0.0
Зарічна,108.0
Чавдар,150.0
Правди,72.0
Урлівська,0.0
Бориспільська,41.0
Поправки,53.0
Бориспільська,43.0
Ентузіастів,0.0
Малоземельна,71.0
Саксаганського,56.0
Героїв Сталінграда,118.0
Зодчих,80.0
Калнишевського,85.0
Філатова,104.0
Старонаводницька,0.0
Заболотного,0.0
Правди,31.0
*** not found,90.0
Антоновича,104.0
Шаповала,46.0
Івана Федорова,103.0
Деревлянська,38.0
Вільямса,111.0
Васильченка,90.0
Предславинська,0.0
Крайня,79.0
Милославська,74.0
Воскресенська,46.0
Маланюка,49.0
Дніпровська,76.0
Пушкінська,103.0
Набережно-Корчуватська,0.0
Зарічна,110.0
Тургенєвська,70.0
Радченка,0.0
Зарічна,60.0
Метрологічна,93.0
Йорданська,130.0
Кольцова,25.0
Максимовича,55.0
Науки,171.0
Саперно-Слобідська,43.0
Шовковична,48.0
Трускавецька,87.0
Гавела,53.0
Повітрофлотський,84.0
Запорожця,46.0
Маккейна,52.0
Перемоги,91.0
Щербаківського,65.0
Зарічна,82.0
Будищанська,88.0
Жилянська,41.0
Комбінатна,150.0
Ревуцького,73.0
Бородіна,81.0
Руставелі,50.0
Драгоманова,37.0
Преображенська,60.0
Депутатська,30.0
Багговутівська,63.0
*** not found,213.0
Сікорського,0.0
Драгомирова,0.0
Коперніка,87.0
Васильківська,68.0
Глибочицька,103.0
Чавдар,0.0
Шовковична,91.0
Дніпровська,64.0
Антоновича,61.0
,94.0
Славгородська,111.0
Драгомирова,46.0
Срібнокільська,40.0
Харченка,70.0
Окіпної,84.0
Саперне Поле,53.0
Олени Теліги,80.0
Кондратюка,70.0
Мечнікова,137.0
Героїв Сталінграда,51.0
Рибальська,52.0
Березова,248.0
Саперне Поле,52.0
Антоновича,74.0
Маккейна,108.0
Лейпцизька,0.0
Драгоманова,0.0
Коновальця,55.0
Василя Стуса,67.0
Тютюнника,70.0
Січових Стрільців,88.0
Райдужна,24.0
Закревського,0.0
Тургенєвська,0.0
Васильківська,46.0
Зої Космодем'янської,250.0
Радченка,37.0
Сверстюка,51.0
Милославська,61.0
Метрологічна,110.0
Деміївська,64.0
Перемоги,0.0
Вишгородська,110.0
Маккейна,51.0
,70.0
